name,Kind,Alcohol,Aroma,Taste,Finish
사마롤리 1999 트리니다드 카니발,럼,50.0,"바닐라, 우아한, 가벼운","아이스크림, 감초, 말린 과일, 부드러운","섬세한, 향나무, 버터, 꿀"
고슬링 블랙 실 럼,럼,40.0,"바닐라, 허브, 캐러멜, 시나몬, 버터스카치","진한, 스파이시, 달콤한, 당밀, 과일 조림, 오렌지, 복합적인","부드러운, 우아한, 바닐라, 정향"
사마롤리 바베이도스 럼 2006 서울대학교 휴림,럼,45.0,"달콤한, 아몬드, 마지팬, 캐러멜","팔각, 꿀, 라임, 시나몬","풍부한, 긴 여운, 짭짤한"
맥네어스 럼 파나마 15년,럼,46.0,"바나나, 망고, 아몬드, 모카","파인애플, 망고, 복숭아, 코코넛","오렌지, 스파이시, 긴 여운, 달콤한"
밀담 17,럼,17.0,"은은한, 달콤한, 사탕수수","깔끔한, 부드러운","깔끔한, 은은한"
패트리돔 그란 리제르바,럼,40.0,"살구, 타르트, 갈색 설탕, 밀크 초콜릿, 메이플 시럽","바닐라, 커피, 다크 초콜릿, 복합적인","달콤한, 바닐라"
패트리돔 그란 리제르바 오버프루프,럼,57.5,"바닐라, 오크, 망고, 초콜릿, 스모키, 로스팅한 커피","밀크 초콜릿, 피칸, 메이플 시럽","균형 잡힌, 달콤한, 쌉쌀한"
패트리돔 셀렉시옹 익스클루시바,럼,40.0,"파이, 과일 케이크, 바닐라 푸딩, 캐러멜","갈색 설탕, 바닐라, 코코넛","부드러운, 달콤한"
패트리돔 XO,럼,42.0,"밀랍, 달콤한, 과일","바닐라, 초콜릿, 과일, 코코넛",균형 잡힌
패트리돔 XO 캐스크,럼,65.0,"코코넛, 밀랍, 달콤한, 초콜릿","오일리한, 건포도, 다크 초콜릿","균형 잡힌, 쌉쌀한, 달콤한"
1423 S.B.S 도미니칸 리퍼블릭 아로마 그란데,럼,57.0,"백후추, 말린 꽃, 감귤 껍질, 시트러스, 자몽, 달콤한, 쌉쌀한","시트러스, 레몬, 마지팬, 라벤더, 오일리한",긴 여운
1423 S.B.S 가이아나 2020,럼,66.4,"토피, 바닐라, 오크, 코코넛","스파이스, 캐러멜, 버터스카치, 우드",실키
1423 S.B.S 도미니칸 리퍼블릭 2006,럼,59.0,"말린 과일, 바닐라, 설탕, 달콤한, 말린 과일","건포도, 갈색 설탕, 코코넛, 초콜릿",짭짤한
디플로마티코 싱글 빈티지 2007,다크 럼,43.0,"커피, 초콜릿, 담뱃잎, 바닐라, 풍부한, 과일","다크 초콜릿, 과일, 바닐라, 캐러멜","스파이시, 긴 여운"
말리부 오리지널,럼,21.0,"열대 과일, 코코넛","코코넛, 바닐라",달콤한
골드 오브 모리셔스 다크 럼,럼,40.0,"오크, 몰트, 구운 견과류, 바닐라","캐러멜, 초콜릿, 시나몬, 달콤한","넛맥, 스파이시, 긴 여운, 부드러운"
말리부,럼,21.0,"열대 과일, 코코넛","바닐라, 코코넛",달콤한
플랜테이션 럼 오리지널 다크,럼,40.0,"페퍼콘, 정향, 시나몬, 블랙 체리, 자두, 당밀","과일, 말린 파인애플, 스파이시","스파이시, 후추"
론디아즈 151 럼,럼,75.5,"달콤한, 꽃, 체리, 오렌지","부드러운, 럼, 강렬한","달콤한, 강렬한"
바카디 리제르바 오초,럼,40.0,"말린 살구, 바나나 잎","오크, 향신료, 바닐라","풍성한, 부드러운"
사마롤리 자메이카 랩소디 2020,럼,45.0,"아몬드, 빵, 에그녹, 견과류","온화한, 커피, 바나나","체리, 풍선껌, 강렬한"
사마롤리 SPQR,럼,48.0,"깊은, 무화과, 꿀","살구, 샤프란, 과일","진한, 균형 잡힌"
바카디 카르타블랑카,럼,40.0,"바닐라, 아몬드","우드, 스모키",부드러운
사마롤리 데메라라,럼,50.0,"구운 파인애플, 딸기, 잼","흑설탕, 꽃","달콤한, 샌달우드"
플랜테이션 O.F.T.D,럼,69.0,"오렌지, 바닐라, 커피, 초콜릿, 잘 익은 바나나, 크리스마스 향신료","열대 과일, 자두, 블랙커런트, 당밀, 오크, 넛맥, 시나몬, 후추","정향, 시나몬, 흑후추"
카덴헤드 트리니다드 그린 라벨 럼 18년,럼,46.0,"마시멜로, 열대 과일, 주스, 달콤한","망고, 허브, 민트, 월계수","꽃, 페퍼민트, 마누카 꿀"
페어 럼 5년,럼,40.0,"오크, 우드, 캐러멜","바닐라, 캐러멜, 초콜릿, 코코넛, 서양 배","긴 여운, 향신료, 둥근"
플랜테이션 XO,럼,40.0,"꽃, 과일, 바닐라, 코코아, 밀크 초콜릿","망고, 견과류, 오렌지","긴 여운, 향신료"
커트 오버 프루프 럼,럼,75.5,"팬케이크, 와플, 오일리","바닐라, 버터스카치, 코코넛","시나몬, 향신료, 깊은, 부드러운"
커트 스모키 럼,럼,40.0,"커피, 스모키, 카카오","바닐라, 숯, 갈색 설탕","커피, 스모키, 타바코"
커트 스파이스 럼,럼,37.5,"오렌지, 팬케이크, 바닐라, 고수","레몬, 크렘 브륄레, 후추, 짭짤한","후추, 캐러멜, 육두구"
론 자카파 23,럼,40.0,"캐러멜, 바닐라, 카카오, 버터스카치, 구운 헤이즐넛, 셰리, 토피넛, 바나나, 말린 파인애플","복합적인, 말린 과일, 살구, 짭짤한, 오크, 육두구, 가죽, 타바코, 커피, 바닐라, 진저, 시나몬, 스파이시","꿀, 버터스카치, 스파이시, 오크, 말린 과일"
론 자카파 XO,럼,40.0,"구운 오크, 캐러멜, 견과류, 오렌지 껍질, 과일","달콤한, 과일, 향신료, 다크 체리, 초콜릿, 대추, 정향, 바닐라, 시나몬","말린 망고, 라즈베리, 진저"
바톤 럼,럼,40.0,"바닐라, 달콤한","시트러스, 감귤",깔끔한
바카디 카르타 오로,골드 럼,40.0,"바닐라, 아몬드, 오크","견과류, 오크","부드러운, 풍부한"
앙고스투라 1919 캐리비안 럼,럼,40.0,"바닐라, 코코넛","스파이시, 캐러멜, 바닐라",긴 여운
니카라과 럼,럼,43.0,"과일, 흰 꽃, 향신료",달콤한,"초콜릿, 가벼운"
피지 럼 2014,럼,48.0,"과일, 우드, 캐러멜, 견과류","과일, 산미, 달콤한, 아몬드","이국적인, 열대 과일, 자두, 우아한"
플랜테이션 그랑 리저브,럼,40.0,"풍부한, 코코넛","우드, 바닐라, 과일","섬세한, 타닌, 균형 잡힌"
스미스 & 크로스,럼,57.0,"열대 과일, 파인애플, 시나몬, 후추","타바코, 정향, 바닐라, 설탕, 달콤한","긴 여운, 향신료, 파인애플"
말리부 오리지널,럼,21.0,"코코넛, 열대 과일","바닐라, 코코넛",달콤한
