name,Kind,Alcohol,Aroma,Taste,Finish
스프링뱅크 25년,싱글몰트 위스키,46.0,"제비꽃, 커스터드 크림, 자몽, 벌집","복합적인, 바닐라 퍼지, 타바코, 짭짤한","복합적인, 흙내음, 밀랍, 오렌지 껍질, 풍부한"
조니워커 더블 블랙,블렌디드 위스키,40.0,"건포도, 과일, 스모키, 피트","바닐라, 스파이스, 진한, 스모키","긴 여운, 스모키"
글렌 스코샤 빅토리아나 CS,싱글몰트 위스키,54.2,"시트러스, 오크, 캐러멜, 크렘 브륄레",달콤한,"부드러운, 스모키"
토마틴 18년,싱글몰트 위스키,46.0,"말린 과일, 견과류, 열대 과일","바닐라, 스모키, 정향, 계피, 꿀, 오렌지","초콜릿, 오크, 후추, 긴 여운, 강렬한"
더 글렌리벳 18년,싱글몰트 위스키,40.0,"과일 파이, 말린 과일, 밀크 초콜릿, 서양 배, 코코넛, 토피 사탕","감귤, 벌꿀, 스파이시","균형 잡힌, 긴 여운, 부드러운"
러셀 리저브 싱글 배럴,버번 위스키,55.0,"견과류, 바닐라, 시나몬, 오크, 흑설탕","감초, 스파이시, 코코넛, 토피","달콤한, 몰트, 향신료, 사과 파이, 긴 여운"
스태그 주니어,버번 위스키,64.0,"오크, 다크 초콜릿, 흑설탕, 바닐라, 허브, 건자두, 체리","다크 초콜릿, 시나몬, 가죽, 시가","시나몬, 오크, 바닐라, 말린 과일, 긴 여운"
스프링뱅크 15년,싱글몰트 위스키,46.0,"데메라라 설탕, 다크 초콜릿, 크리스마스 케이크, 아몬드, 토피","건포도, 무화과, 복숭아, 브라질 너트","오크, 바닐라, 셰리, 가죽"
하쿠슈 12년,재패니즈 위스키,43.0,"바질, 사과, 솔잎","달콤한, 배, 민트, 키위","녹차, 스모키, 미묘한"
글렌카담 오리진 1825,싱글몰트 위스키,40.0,"달콤한, 바닐라, 배, 열대 과일","바닐라, 부드러운, 향신료, 후추","오크, 플로럴"
보모어 25년,싱글몰트 위스키,43.0,"과일, 셰리, 스모키","달콤한, 스모키, 토피넛, 피트, 헤이즐넛","달콤한, 복합적인, 부드러운"
글렌파클라스 21년,싱글몰트 위스키,43.0,"셰리, 시트러스, 열대 과일, 육두구","스파이시, 프루티","실키, 긴 여운, 초콜릿"
휘슬피그 15년 라이,라이 위스키,46.0,"바닐라, 오렌지, 캐러멜","민트, 버터스카치, 캐러멜, 풀, 호밀","스파이시, 긴 여운"
벤로막 40년,싱글몰트 위스키,57.1,"다크 초콜릿, 생강, 시나몬, 시트러스, 감귤","달콤한, 사과, 오렌지, 허브","강렬한, 긴 여운, 복합적인, 스파이시, 오크"
스카치블루 21년,블렌디드 위스키,40.0,"꿀, 바닐라, 시트러스, 감귤","감칠맛, 달콤한, 스파이시","사과, 사탕, 토피"
잭 다니엘스 싱글배럴 배럴 프루프,아메리칸 위스키,67.8,"바나나, 우디, 캐러멜, 스모키","견과류, 달콤한, 로즈마리, 사과, 스파이시","바닐라, 시나몬, 우디, 흑설탕, 향신료"
템플턴 라이 배럴 스트랭스,라이 위스키,57.9,"계피, 메이플 시럽, 바닐라, 스피어민트","오렌지, 흑설탕, 달콤한, 향신료","긴 여운, 섬세한"
리뎀션 휘티드 버번,버번 위스키,48.0,"과일, 마시멜로, 멜론, 서양 배, 코코아","스파이시, 감칠맛, 곡물, 우드, 헤이즐넛","구운 빵, 곡물, 과일, 깔끔한, 시리얼, 신선한"
로얄 브라클라 12년,싱글몰트 위스키,46.0,"사과, 몰트, 바닐라, 시리얼","사과, 꿀, 다크 초콜릿, 블랙체리, 흑설탕","셰리, 초콜릿, 향신료, 긴 여운"
하트 브라더스 로얄 브라클라 10년,싱글몰트 위스키,50.0,"버터, 시나몬, 오렌지","감귤, 바닐라, 정향","긴 여운, 오렌지, 풍부한"
벤리악 템포리스 21년,싱글몰트 위스키,46.0,"꿀, 몰트, 소나무, 오렌지 껍질, 향신료","가죽, 말린 과일, 시나몬","긴 여운, 달콤한, 피트"
위스키 브로커 스트라스밀 12년,싱글몰트 위스키,53.3,향기로운,복합적인,긴 여운
위스키 브로커 더프타운 13년,싱글몰트 위스키,56.5,"꽃, 몰트, 오크, 후추","향신료, 견과류, 구운 사과","팔각, 후추"
시바스 브라더스 30년,블렌디드 위스키,40.0,"가벼운 오크, 꿀, 오렌지 껍질, 은은한, 곡물","가죽, 과일, 달콤한, 오렌지, 부드러운, 셰리","감칠맛, 곡물, 긴 여운, 다크 초콜릿, 따뜻한"
레이디 오브 더 글렌 링크우드 10년,싱글몰트 위스키,56.1,"열대 과일, 팝콘","사과, 균형 잡힌, 열대 과일, 푸딩","긴 여운, 달콤한, 열대 과일"
그레이트 킹 스트리트 글레스고우 블렌드,블렌디드 몰트 위스키,43.0,"피트, 스모키, 스파이시, 셰리","스모키, 달콤한, 말린 과일",부드러운 타닌
쿠 보칸 시그니처,싱글몰트 위스키,46.0,"코코넛, 허브, 고수, 스모키, 라임, 자몽","시트러스, 감귤, 정향, 계피, 팔각","향신료, 스모키, 달콤한, 건포도"
리뎀션 스트레이트 버번 꼬냑 캐스크 배치 1,버번 위스키,49.5,"꽃, 잘 익은 포도, 정향, 히비스커스","데친 배, 달콤한, 복숭아, 서양 자두, 타닌","구운 피칸, 구운 향신료, 버터, 프랄린"
레이디 오브 더 글렌 세인트 브리짓 커크 #1,블렌디드 위스키,48.5,"가죽, 머스크, 셰리, 적포도","꿀, 달콤한, 딸기, 버터, 토피, 캐러멜","대추, 부드러운, 크림치즈"
글렌피딕 프로젝트 XX,싱글몰트 위스키,47.0,"감초, 바닐라, 사과 꽃, 서양 배, 오크","구운 아몬드, 달콤한, 부드러운, 솜사탕, 시나몬, 타닌","긴 여운, 달콤한, 오크, 향기로운"
로완스 크릭,버번 위스키,50.0,"꽃, 바닐라, 스피어민트, 올스파이스, 캐러멜, 풀","바닐라, 시나몬, 캐러멜, 콘 시럽, 퍼지","긴 여운, 레몬, 베리, 삼나무, 오크, 캐러멜"
쿠 보칸 스타우트 캐스크,싱글몰트 위스키,46.0,"사과, 몰트, 빵, 커피 콩","다크 초콜릿, 버터, 삼나무, 호두","딸기 타르트, 스모키, 자두, 초콜릿"
맥캘란 1974,싱글몰트 위스키,43.0,"생강, 오렌지, 초콜릿, 말린 무화과","스파이시, 바닐라, 캐러멜, 자두, 다크 초콜릿","생강, 오렌지, 오크, 셰리"
피츠 비스트 CS,싱글몰트 위스키,52.1,"과일, 가벼운 스모키, 캐러멜, 해초","강렬한, 피트, 달콤한, 과일",생강
와일드 터키 레어브리드,버번 위스키,58.4,"건포도, 꿀, 아몬드, 후추","견과류, 구운 빵, 오렌지, 캐러멜","긴 여운, 스파이시"
맥캘란 25년 셰리 오크,싱글몰트 위스키,43.0,"레몬, 계피, 셰리, 우드","말린 과일, 우드","말린 과일, 스파이시, 우드"
글렌피딕 파이어 & 케인,싱글몰트 위스키,43.0,"달콤한, 스파이스, 토피, 톡 쏘는, 피트","구운 사과, 과일, 스모키, 오크, 토피","긴 여운, 달콤한, 스모키"
조니워커 골드,블렌디드 위스키,40.0,"달콤한, 스모키","과일, 꿀, 달콤한","스모키, 오크"
글렌알라키 10년 CS 배치 5,싱글몰트 위스키,55.9,"계피, 꿀, 다크 초콜릿, 모카, 아몬드, 오렌지","건포도, 계피, 꿀, 다크 초콜릿, 아몬드, 오렌지","셰리, 풍부한"
맥캘란 18년 더블 캐스크 2021,싱글몰트 위스키,43.0,"말린 과일, 생강, 오렌지","스파이시, 바닐라, 생강, 캐러멜","생강, 오렌지, 오크"
맥캘란 18년 더블 캐스크 2022,싱글몰트 위스키,43.0,"말린 과일, 생강, 오렌지","스파이시, 바닐라, 생강, 캐러멜","생강, 오렌지, 오크"
맥캘란 M 디캔터 2018,싱글몰트 위스키,44.5,"대추 야자, 무화과, 생강, 육두구, 구운 사과, 담배","페이스트리, 퍼지, 오크, 견과류, 오렌지 오일","코코넛, 바닐라, 생강, 건포도, 나무, 향신료"
블라드녹 퓨어 스콧 오리지널,블렌디드 위스키,40.0,"과일, 스모키, 토피","과일, 꿀, 생강, 후추","스파이시, 긴 여운, 풍부한"
틸링 블랙 핏츠,아일랜드 위스키,46.0,"버터스카치, 숯, 정향, 파인애플","모닥불, 배, 초콜릿","사과, 긴 여운, 자두"
맥캘란 30년 셰리 오크 캐스크,싱글몰트 위스키,43.0,"구운 오크, 셰리, 육두구","셰리, 스모키, 오렌지","긴 여운, 오렌지, 풍부한"
버팔로 트레이스 90 프루프,버번 위스키,45.0,"민트, 바닐라, 호밀","오크, 토피, 향신료, 호밀","긴 여운, 바닐라, 우아한"
헌터랭 쿨일라 9년 어드벤스 샘플,싱글몰트 위스키,50.0,"딸기 잼, 시나몬, 피트","사과, 스모키, 후추","베리, 스모키, 피트"
하트 브라더스 2011 글렌드로낙 10년,싱글몰트 위스키,56.5,"꽃, 밀크 초콜릿","과일, 셰리, 풍부한","스파이시, 향신료"
롱로우 21년,싱글몰트 위스키,46.0,"토피, 짭짤한, 팝콘, 멜론","스모키, 베이컨, 메이플 시럽, 후추","캐러멜, 자두, 코코넛, 바닐라"
헤이즐번 10년,싱글몰트 위스키,46.0,"구운 사과, 배, 벌집, 퍼지","감귤류 껍질, 감초, 꿀, 바닐라","밀크 초콜릿, 긴 여운, 오일리"
블랙애더 로우 캐스크 레드 스네이크 RN28 59.9%,싱글몰트 위스키,59.9,"신선한, 피트, 배, 스모키, 레몬","달콤한, 피트, 꿀, 배, 오크","긴 여운, 후추, 꿀, 배"
산시바 글렌그란트 23년 럼 캐스크,싱글몰트 위스키,53.2,"금귤, 베리, 열대 과일, 자두","구스베리, 달콤한, 바닐라, 파인애플","밀랍, 초콜릿, 헤더 꿀"
산시바 하이랜드 파크 24년 버번 캐스크,싱글몰트 위스키,51.4,"스모키, 카다멈, 핵과류","복숭아, 짭짤한","미네랄리티, 스모키"
산시바 10주년 기념 토마틴 19년 PX 셰리 벗,싱글몰트 위스키,56.0,"셰리, 스파이시, 말린 과일, 견과류","셰리, 말린 과일, 진저","달콤한, 긴 여운, 밀크 초콜릿"
제임슨 캐스크메이츠 IPA,블렌디드 위스키,40.0,"견과류, 자몽, 꽃, 홉","감귤, 견과류, 스파이스, 허브, 홉","보리, 부드러운, 과일, 신선한, 홉"
산시바 2006 오크니 12년 버번 캐스크,싱글몰트 위스키,60.4,"사과, 꽃, 몰트, 미네랄리티, 오크, 벌꿀, 바닐라","밀크 초콜릿, 계피, 구운 오크, 설탕에 절인 자몽, 캐러멜","긴 여운, 꽃, 허브, 민트, 바닐라, 유칼립투스"
맥캘란 골드 더블 캐스크,싱글몰트 위스키,40.0,"사과, 바닐라, 버터스카치, 오렌지, 토피","꿀, 건포도, 시트러스, 감귤, 우드, 캐러멜","달콤한, 따뜻한, 오크"
BB&R 퍼스펙티브 21년,블렌디드 위스키,43.0,"레몬, 사과, 바닐라, 시나몬","꿀, 생강, 셰리, 시나몬, 키위, 후추","사과, 시트러스, 허브"
산시바 아란 22년 버번 캐스크,싱글몰트 위스키,48.3,"꿀, 디저트, 바닐라","버터, 스파이스, 캐러멜, 후추","백후추, 서양 배, 애플 파이, 팬케이크"
레이디 오브 더 글렌 토마틴 12년,싱글몰트 위스키,59.8,"진저 캔디, 홉, 풀","스파이시, 바닐라, 달콤한, 과일, 후추, 몰트, 풍부한","열대 과일, 진저"
레이디 오브 글렌 글렌 그란츠 23년,싱글몰트 위스키,50.4,"그을린 오크, 럼 레이즌, 오렌지, 크리스마크 케이크","건포도, 다크 초콜릿, 캐러멜, 몰트, 셰리, 스파이스","과일, 오크, 아몬드, 달콤한, 건포도"
레이디 오브 더 글렌 쿨 일라 9년,싱글몰트 위스키,57.4,"꽃, 레몬, 산뜻한, 모닥불의 재, 미네랄리티, 화사한","레몬 그라스, 블랙 페퍼, 스모키한 베이컨","구운 과일, 긴 여운, 시트러스, 감귤 껍질"
레이디 오브 더 글렌 블레어 아솔 10년,싱글몰트 위스키,57.6,"살구, 우아한, 오크, 천도 복숭아","레몬, 달콤한, 벌꿀, 바다 내음, 몰트, 오크, 과일, 향긋한","바닐라 크림, 솔티드 캐러멜"
레이디 오브 더 글렌 벤리네스 10년,싱글몰트 위스키,56.5,"다크 초콜릿, 자두","감귤 껍질, 구운 견과류, 미네랄리티, 쌉쌀한","가죽, 스모키, 계피"
코마가타게  츠누키 에이징 2019,재패니즈 싱글몰트 위스키,56.0,"감귤, 과일 조림, 유자","레몬, 건초, 바닐라, 참나무","긴 여운, 달콤한"
