name,Kind,Alcohol,Aroma,Taste,Finish
1800 레포사도 38%,데킬라,38.0,"무화과, 오크, 캐러멜","달콤한, 바닐라, 아가베, 젖은 돌","강렬한, 부드러운, 시나몬, 잔디"
올메카 아네호,데킬라,36.5,"아가베, 복합적인, 우디","바닐라, 부드러운, 말린 과일","아몬드, 깔끔한, 구운 아가베"
호세 쿠엘보 실버 홈 칵테일,데킬라,40.0,"신선한, 뚜렷한, 아가베","순수한, 깔끔한, 아가베","깨끗한, 상쾌한"
페트론 실버,데킬라,40.0,"꽃, 아가베, 신선한","시트러스, 감귤, 신선한","부드러운, 깔끔한"
1800 아네호 38%,데킬라,38.0,"시나몬, 캐러멜, 오크","바닐라, 아가베, 달콤한","강렬한, 부드러운, 스파이시"
돈 훌리오 블랑코,데킬라,38.0,"신선한, 레몬, 라임, 자몽, 감귤, 아가베","깔끔한, 달콤한, 아가베","세련된, 드라이한"
1800 실버,데킬라,40.0,"바다 내음, 짭짤한, 오크, 은은한, 알코올","아가베, 달콤한",깔끔한
페트론 실버,데킬라,40.0,시트러스,"과일, 부드러운, 달콤한",후추
에스폴론 레포사도,데킬라,40.0,"열대 과일, 후추, 레몬 껍질","달콤한, 캐러멜, 아몬드","스파이시, 부드러운, 긴 여운"
에라두라 레포사도,데킬라,40.0,"아가베, 바닐라, 버터","부드러운, 달콤한, 과일, 스파이스","후추, 고구마, 과일, 아니스"
돈 훌리오 아네호,데킬라,38.0,"시트러스, 감귤, 라임, 귤, 캐러멜","아가베, 꿀, 오크, 버터스카치","꿀, 코코아, 스파이시"
호세 쿠엘보 에스페샬 실버 데이 오브 더 데드,데킬라,38.0,아가베,"신선한, 뚜렷한","깔끔한, 부드러운, 향긋한"
볼칸 데 미 띠에라 XA,데킬라,40.0,바닐라,"용설란, 스파이스, 견과류",깨끗한
몬테쥬마 블루,데킬라,40.0,"바닐라, 허브, 오렌지","용설란, 꿀, 풀, 파인애플","바닐라, 용설란, 허브"
페트론 실버,데킬라,40.0,"꽃, 신선한, 아가베",신선한,"깔끔한, 부드러운"
페트론 레포사도,데킬라,40.0,"바닐라, 오크, 용설란",꿀,"복합적인, 부드러운"
돈 훌리오 블랑코,데킬라,38.0,"아가베, 감귤, 자몽","달콤한, 아가베, 시트러스","가벼운, 달콤한, 아가베"
페트론 레포사도,데킬라,40.0,"바닐라, 용설란, 오크","꿀, 시트러스, 감귤","복합적인, 부드러운"
코 엘 메즈칼,데킬라,40.0,"아가베, 알코올, 허브","열대 과일, 화사한, 달콤한","부드러운, 깔끔한, 깨끗한"
로스7 엑스트라 아네호 크리스탈리노 데킬라,데킬라,35.0,"시트러스, 가벼운, 구운 아가베","과일, 향신료, 바닐라","부드러운, 오크, 깔끔한"
호세 쿠엘보 트레디셔널 실버,데킬라,38.0,"가벼운, 아가베, 신선한","깔끔한, 후추, 향신료","상쾌한, 아가베, 민트"
아이덴티티 아네호 크리스탈리노,데킬라,40.0,"바닐라, 달콤한, 케이크","캐러멜, 버터스카치, 달콤한","아가베, 후추, 과일"
1800 코코넛,데킬라,35.0,"부드러운, 아가베, 열대 과일","코코넛, 균형 잡힌, 아가베","은은한, 코코넛, 달콤한"
산타나 데킬라 골드,데킬라,40.0,"부드러운, 아가베, 허브","달콤한, 스파이시, 바닐라","초콜릿, 커피, 아가베"
코디고 1530 블랑코,데킬라,40.0,"상쾌한, 시트러스, 아가베","풍부한, 아가베, 달콤한","흙내음, 미네랄리티, 깔끔한"
돈 훌리오 블랑코,데킬라,38.0,"아가베, 자몽, 시트러스, 감귤","달콤한, 아가베","가벼운, 달콤한, 아가베"
돈 훌리오 레포사도,데킬라,38.0,"바닐라, 다크 초콜릿, 라임, 시트러스, 감귤","균형 잡힌, 말린 과일, 캐러멜",긴 여운
돈 훌리오 레포사도,데킬라,38.0,"바닐라, 다크 초콜릿, 감귤, 시트러스, 라임","바닐라, 오렌지, 사과, 초콜릿","부드러운, 따뜻한"
돈 훌리오 아녜호,데킬라,38.0,"감귤, 시트러스, 라임, 귤, 캐러멜","아가베, 꿀, 오크, 버터스카치","꿀, 코코아, 스파이시"
씨에라 데킬라 레포사도 샷 글라스 4입,데킬라,38.0,"바닐라, 버번, 신선한, 용설란","캐러멜, 허브, 스파이시, 과일","달콤한, 알싸한, 오크"
돈 훌리오 레포사도 38%,데킬라,38.0,"부드러운, 레몬, 시트러스, 핵과류, 향신료","다크 초콜릿, 바닐라, 시나몬, 우아한","말린 과일, 견과류, 캐러멜, 사과, 부드러운"
세노테 아네호 데킬라,데킬라,40.0,"용설란, 바나나, 향신료","복합적인, 용설란, 부드러운","긴 여운, 초콜릿, 스모키"
