name,Kind,Alcohol,Aroma,Taste,Finish
9PM 뉴잉글랜드IPA,맥주,6.0,"리치, 망고, 자몽","시트러스, 감귤, 열대 과일","부드러운, 홉"
6PM 베를리너 바이세,맥주,4.1,"망고, 시트러스, 감귤","부드러운, 패션프루트","달콤한, 청량한"
새터데이,맥주,5.0,"시트러스, 감귤","자몽, 달콤한","풍성한, 부드러운"
웬즈데이,맥주,5.0,"열대 과일, 계피","정향, 바나나","향신료, 부드러운"
위치 초콜릿 스타우트,맥주,5.7,"구운 빵, 다크 초콜릿","고소한, 구운 몰트, 오트밀, 쌉쌀한, 초콜릿","달콤한, 균형 잡힌, 풍부한"
코젤 다크,맥주,3.8,"몰트, 초콜릿","비스킷, 캐러멜, 홉",깔끔한
호가든 위트비어,맥주,4.9,"레몬, 허브, 홉","스파이스, 신선한","상쾌한, 허브"
빅 웨이브 골든 에일,맥주,4.4,"홉, 은은한, 허브","부드러운, 상쾌한","신선한, 열대 과일"
하비스톤 올라 덥 18년,맥주,8.0,"초콜릿, 커피, 오크","캐러멜, 견과류","초콜릿, 커피"
하비스톤 올라 덥 16년,맥주,8.0,"커피, 초콜릿, 오크","에스프레소, 커피","초콜릿, 풍성한"
시메이 레드,트라피스트 맥주,7.0,"살구, 홉",캐러멜,"쌉쌀한, 부드러운"
버터 맥주 AAA+,맥주,4.5,"버터, 바닐라","버터, 바닐라",부드러운
버터 맥주 BBB+,맥주,5.2,"버터, 캐러멜","캐러멜, 커스터드 크림",부드러운
버터 맥주 CCC+,맥주,4.5,"버터, 아몬드","달콤한, 견과류","부드러운, 아몬드"
버터 맥주 DDD+,맥주,5.2,"버터, 헤이즐넛","커피, 헤이즐넛","부드러운, 헤이즐넛"
하비스톤 올라 덥 12년,에일 맥주,8.0,"당밀, 커피, 바닐라","캐러멜, 위스키, 스모키","풍성한, 강렬한"
하비스톤 올드 엔진 오일,흑맥주,6.0,"코코아, 감초, 커피","초콜릿, 달콤한, 커피","끈적한, 강렬한, 진한"
이네딧 담,맥주,5.0,"가벼운, 상쾌한, 가벼운","상쾌한, 깔끔한, 과일","가벼운, 상큼한, 깔끔한, 상쾌한"
이히테겜 그랑크뤼,맥주,6.5,"발사믹, 체리, 블랙커런트, 풍선껌, 달콤한, 우디, 캐러멜","붉은 과일, 석류, 캐러멜","토스트, 복합적인, 복합적인"
에비스,맥주,5.0,"꽃, 몰트, 은은한","청량한, 고소한, 부드러운","깔끔한, 쌉쌀한, 은은한"
슈나이더 바이세 탭7 오리지널,맥주,5.4,"달콤한, 생강, 몰트","경쾌한 탄산, 가벼운, 바나나","홉, 미묘한 향신료, 깔끔한"
슈나이더 바이세 탭5 호펜바이세,맥주,8.2,"과일, 몰트","탄산감, 묵직한, 과일","강한 홉, 상큼한, 깔끔한"
인디카 IPA,IPA 맥주,6.5,"과일, 홉, 신선한, 자몽, 귤, 꽃","상쾌한, 쌉쌀한, 화사한",조화로운
테넌츠 위스키 오크 숙성 맥주,맥주,6.0,"대담한, 과일, 달콤한","은은한, 오크, 위스키","따뜻한, 긴 여운"
리덴버거 비바 바바리아,맥주,5.5,"캐러멜, 빵, 풀","깔끔한 탄산감, 균형 잡힌, 단단한 구조감","깔끔한, 둥근"
바이엔슈테판 헤페바이스,밀맥주,5.4,"바나나, 과일, 정향","은은한 후추, 허브, 고소한","풍부한, 부드러운, 깔끔한 탄산감"
아잉거 야훈데르트,맥주,5.5,"바나나, 곡물, 꽃","부드러운, 고소한","균형 잡힌, 알싸한"
크로넨버그 1664 블랑,맥주,5.0,"열대 과일, 몰트","균형 잡힌, 달콤한, 쌉쌀한, 새콤한","긴 여운, 부드러운, 긴 여운"
삼분수 오드 괴즈1.5L,맥주(괴즈),7.2,"오렌지, 쿰쿰한, 효모","과일, 시트러스, 감귤",산뜻한
피코 벨로,맥주,0.30000000000000004,"과일, 달콤한, 새콤한","새콤한, 산미","상큼한, 쌉쌀한, 긴 여운"
정글 조이,맥주,6.6,"과일, 망고, 패션프루트","열대 과일, 청량감","산미, 균형 잡힌"
오가닉 초콜릿 스타우트,맥주,5.0,"달콤한, 초콜릿, 카카오","달콤한, 맑은","가벼운, 쌉쌀한, 풍성한"
마후,맥주,4.5,강렬한,"깔끔한, 청량한","깔끔한, 청량한"
사무엘 아담스,맥주,4.8,"꽃, 레몬","몰트, 캐러멜, 묵직한","풍성한, 균형 잡힌"
원더 라거,맥주,3.8,"리치, 자몽, 망고, 신선한, 허브","긴 여운, 홉, 파워풀, 우아한, 감칠맛, 곡물, 레몬, 상큼한","쌉쌀한, 시트러스"
몽트 메이플 에일,맥주,6.2,"말린 과일, 과일, 메이플","묵직한, 몰트, 밀크 초콜릿","은은한, 긴 여운, 캐러멜"
람빅 패브릭 주시 앤 와일드 무스카 엘레,맥주,8.8,"나무, 레몬, 달콤한","복숭아, 바닐라, 사과","부드러운, 오크, 과일, 풍부한"
