name,Kind,Alcohol,Aroma,Taste,Finish
바디아 디 모로나 비냐 알타 산지오베제,레드 와인,14.0,"시나몬, 꽃, 삼나무","체리, 깔끔한, 부드러운","균형 잡힌, 단단한 구조감"
뽀이약 드 바따이,레드 와인,13.5,"허브, 오크, 흙내음","진한, 풍부한, 균형 잡힌","단단한 구조감, 정교한, 우아한"
샤또 뻬이 라 뚜르 보르도 루즈 1.5L,레드 와인,14.5,"베리, 자두, 붉은 과일","풍부한, 산뜻한","묵직한, 부드러운 타닌, 균형 잡힌"
샤또 뻬이 라 뚜르 리저브 보르도 수페리에르,레드 와인,14.5,"딸기, 산딸기, 자두, 민트","부드러운 타닌, 잘 익은 과일","균형 잡힌, 긴 여운, 신선한"
샤또 그랑 바라이 라마젤 피제악 생떼밀리옹 그랑 크뤼,레드 와인,13.5,"오크, 체리, 자두","베리, 깔끔한, 균형 잡힌","부드러운, 풍부한, 은은한"
샤또 벨그라브 그랑 크뤼 클라쎄 오-메독,레드 와인,13.5,"검은 과일, 가죽, 오크","검은 과일, 깔끔한, 균형 잡힌",나무
"클라랑스 딜롱, 클라랑델 루즈",레드 와인,13.5,"오크, 블랙베리, 흙내음","섬세한, 균형 잡힌, 가벼운, 오크","부드러운, 타닌, 단단한 구조감"
킴 크로포드 피노 누아,레드 와인,13.0,"풍부한, 오크, 다크 체리","과일, 오크, 타닌","섬세한, 긴 여운, 균형 잡힌"
"코노 수르, 비씨클레타 샤르도네",화이트 와인,13.0,"시트러스, 파인애플, 멜론","과일, 산미, 미네랄리티","은은한, 균형 잡힌, 묵직한"
루스토 아몬티야도 로스 아르코스,셰리 와인,18.5,"헤이즐넛, 배, 고소한","부드러운, 풍부한, 균형 잡힌","긴 여운, 묵직한"
비노쿠스 713 레드,레드 와인,13.5,"검은 과일, 붉은 과일, 초콜릿","스파이시, 균형 잡힌","깔끔한, 긴 여운"
"보데가 까스따뇨, 헤쿨라 모나스트렐",레드 와인,14.5,"배, 자두, 오크","부드러운 타닌, 균형 잡힌","풍부한, 긴 여운, 긴 여운"
아딸라야 알라야 티에라,레드 와인,15.5,"오크, 블랙베리, 스모키",묵직한,"긴 여운, 타닌, 균형 잡힌"
샤또 몽페라 화이트,화이트 와인,12.5,"청사과, 파인애플, 자몽, 흰 꽃, 상쾌한","구운 아몬드, 견과류, 고소한, 균형 잡힌","우아한, 신선한"
에스쿠도 로호 그랑 리제르바,레드 와인,14.5,농축된,"카카오, 다크 초콜릿, 강렬한, 복합적인, 산뜻한, 우아한","모카, 스파이시, 캐러멜, 균형 잡힌"
"풀리니, 브루넬로 디 몬탈치노 2016",레드 와인,14.0,"자두, 붉은 과일, 체리","부드러운 타닌, 단단한 구조감, 균형 잡힌","묵직한, 긴 여운, 부드러운"
"안티노리, 페폴리 끼안티 클라시코 2019",레드 와인,13.0,"체리, 바닐라, 초콜릿","산미, 감미로운, 부드러운","실키, 부드러운 타닌, 긴 여운"
라 아딸라야 델 카미노 2020,레드 와인,15.5,"자두, 베리, 오크","묵직한, 산미, 타닌","부드러운, 균형 잡힌, 긴 여운"
인텔레고 핑크 머스타시,내추럴 레드 와인,11.0,"딸기, 레드베리, 버터, 오크, 꽃, 포도 주스","상큼한, 과일, 단단한 구조감",조화로운
"인텔레고, 케둔구",내추럴 레드 와인,11.5,"포도 주스, 오크, 우드, 과일, 달콤한, 꽃","산뜻한, 잘 익은 포도","신선한, 풍부한"
지아코모 페노끼오 랑게 네비올로,레드 와인,13.0,"석류, 자두, 체리","달콤한, 새콤한, 균형 잡힌","타닌, 단단한 구조감"
"몬테스, 클래식 까베르네 소비뇽",레드 와인,14.0,"붉은 과일, 블랙베리, 가벼운 오크, 바닐라, 초콜릿","붉은 과일, 부드러운 타닌","후추, 긴 여운"
블루넌 돈펠더,레드 와인,8.5,"블랙베리, 블랙커런트",달콤한,부드러운
"호메 세라, 브뤼 네이처 리제르바 빈티지 까바",스파클링 와인,11.5,"아몬드, 구운 빵, 배, 복숭아","감귤, 시트러스, 깊은, 탄산감","신선한, 조화로운"
조닌 카스텔로 델 포지오 모스카토 다스티,스파클링 와인,5.5,"복숭아, 사과, 배","꿀, 미네랄리티, 시트러스, 감귤","멜론, 살구, 오렌지"
그라우 지티 루츠,내추럴 화이트 와인,13.0,"열대 과일, 장미, 복합적인, 리치","풍부한, 과일, 버터, 프루티","이국적인, 달콤한"
버메스터 LBV 포트,포트 와인,20.0,"블랙커런트, 발사믹, 라즈베리, 초콜릿","잘 익은 과일, 달콤한, 코코아, 자두","긴 여운, 단단한 구조감, 풍성한"
테 와레 라 리슬링,화이트 와인,13.5,"복숭아, 귤, 자몽","레몬, 라임, 미네랄리티","신선한, 균형 잡힌, 부드러운"
"포 바인, 올드 바인 진판델",레드 와인,14.5,"딸기, 블랙베리, 건포도","과일, 농축된","풍부한, 균형 잡힌, 단단한 구조감"
카사솔레,화이트 와인,10.0,"잘 익은 배, 오렌지 꽃, 플로럴, 프루티","복숭아, 사과, 멜론","크리스피, 긴 여운, 균형 잡힌"
아방트 샤르도네,화이트 와인,13.5,"파인애플, 레몬, 풋사과, 신선한","상큼한, 오크, 버터, 시트러스","부드러운, 과일, 긴 여운"
닥터루젠 블루 슬레이트 리슬링 카비넷,화이트 와인,8.0,"신선한, 과일, 사과, 복숭아","시트러스, 감귤, 상큼한","미네랄리티, 산뜻한, 체리"
닥터루젠 레드 슬레이트 리슬링 드라이,화이트 와인,12.0,"신선한, 과일, 사과","시트러스, 감귤, 라임, 블랙베리, 레드베리","미네랄리티, 딸기, 깔끔한"
타라파카 까베르네 소비뇽,레드 와인,13.5,"딸기, 체리, 후추","바닐라, 부드러운 타닌, 신선한","붉은 과일, 차, 오크"
타라파카 그랑 타라파카 시라,레드 와인,14.6,"배, 라즈베리, 후추","균형 잡힌, 단단한 구조감","균형 잡힌, 부드러운 타닌"
블랙 타워 미니 프루티 화이트,화이트 와인,10.0,"파인애플, 잘 익은 망고, 상큼한, 과일","복숭아, 자두, 토피","바닐라, 바나나, 레몬 제스트"
블랙타워 라인 레벤 리슬링,화이트 와인,13.0,"상큼한, 시트러스, 열대 과일","미네랄리티, 깔끔한, 달콤한","균형 잡힌, 긴 여운"
"닥터 파우스트, 리슬링 스페트레제",화이트 와인,8.5,"꿀, 복숭아, 신선한","살구, 우아한, 사과","긴 여운, 열대 과일, 레몬 껍질"
닥터 파우스트 도른펠더,레드 와인,10.0,"풍부한, 부드러운, 블랙베리","달콤한, 라즈베리, 딸기","신선한, 체리 시럽, 자두"
"일 콘벤티노, 비노 노빌레 디 몬테풀치아노 리제르바",레드 와인,14.0,"오크, 담배, 우아한, 제비꽃","체리, 라즈베리, 자두, 바닐라","보이젠베리, 블루베리, 후추, 유칼립투스"
보리우 빈야드 캘리포니아 까베르네 소비뇽,레드 와인,13.8,"블랙베리, 다크 체리, 커피","코코아, 스파이스, 복합적인","긴 여운, 바닐라, 캐러멜"
르 샤 누아 미스터 피에레 피노 누아,레드 와인,10.0,"딸기, 신선한, 크랜베리","부드러운 타닌, 체리, 자두","레몬, 라임, 자몽"
포카스 토니 포트,포트 와인,19.0,"자두, 체리, 갈색 설탕","초콜릿, 바닐라, 감귤","긴 여운, 토피, 사과"
델링퀀트 아마야 네그로아마로 펫 낫,내추럴 스파클링 와인,11.0,"딸기, 효모, 블랙베리","균형 잡힌, 보이젠베리, 허브","신선한, 블랙 체리, 짭짤한"
빌라주 데 부시에 뀌베 솔레아,화이트 와인,13.7,"배, 청사과, 꿀","천도 복숭아, 레몬","망고, 파인애플, 머스캣"
아파시오난테 로쏘,레드 와인,13.0,"체리, 블랙베리, 블루베리","건포도, 자두, 시나몬","오크, 바닐라, 건자두"
비냐 아퀴타니아 라줄리 까베르네 소비뇽,레드 와인,14.5,"오크, 블랙베리, 후추","약간의 산미, 부드러운 타닌, 균형 잡힌","우아한, 부드러운, 묵직한"
뚜렌 소비뇽 도멘 뒤 샤르보니에,화이트 와인,12.5,"파인애플, 리치, 젖은 돌","미네랄리티, 풍부한, 백후추","복합적인, 시트러스, 청사과"
