name,Kind,Alcohol,Aroma,Taste,Finish
까뮤 엑스트라,꼬냑,40.0,"크렘 브륄레, 진저 브레드, 구운 견과류","강렬한, 초콜릿, 향신료","긴 여운, 초콜릿"
다니엘 부쥬 싱글 캐스크 코리아 No.1,꼬냑,51.4,"브리오슈, 건포도, 버터 크림, 우디","말린 과일, 다크 초콜릿, 감초, 바닐라","긴 여운, 균형 잡힌, 신선한, 달콤한"
세일링 나폴레옹,꼬냑,40.0,"오크, 말린 과일, 달콤한","부드러운, 과일, 풍부한","바닐라, 은은한, 긴 여운"
레미 마틴 XO,꼬냑,40.0,"꽃, 자스민, 말린 오렌지, 자두, 계피","블랙베리, 오크, 과일, 라즈베리","말린 과일, 오크, 견과류, 긴 여운"
프라팡 시가 블렌드 XO,꼬냑,40.0,"호두, 헤이즐넛, 바닐라, 야생화, 산사나무","포트 와인, 말린 과일, 시가 박스","긴 여운, 란시오"
프라팡 VSOP,꼬냑,40.0,"스파이시, 시나몬, 진저 브레드, 헤이즐넛, 바닐라","풍부한, 구운 사과, 멜론, 신선한, 과일","긴 여운, 스파이시, 달콤한"
프라팡 1270,꼬냑,40.0,"바닐라, 포도, 라임, 꽃","바닐라, 시트러스, 토피, 스파이시","말린 과일, 부드러운, 긴 여운, 캐러멜"
다니엘 부쥬 로얄,꼬냑,60.0,"시가, 바닐라, 후추, 향신료","부드러운, 말린 과일, 복합적인","우아한, 나무, 긴 여운"
헤네시 VS,꼬냑,40.0,"구운 아몬드, 흑설탕, 과일","진한, 견과류, 바닐라, 꽃","풍성한, 부드러운, 꽃"
프라팡 1270,꼬냑,40.0,"우아한, 섬세한, 꽃, 라임","바닐라, 구운 설탕, 말린 과일, 캐러멜","긴 여운, 풍부한, 따뜻한, 부드러운"
프라팡 15년,꼬냑,45.3,"나무, 바닐라, 과일, 홍차, 말린 꽃","토스트, 말린 과일, 온화한, 향신료","긴 여운, 살구, 제비꽃"
프라팡 밀레짐 1995 25년,꼬냑,41.4,"오렌지, 감귤, 신선한","말린 복숭아, 진저 브레드, 바닐라","말린 살구, 균형 잡힌, 스파이시, 란시오"
꼬띠에르 VSOP,꼬냑,40.0,"꽃, 오크, 참나무, 향신료","건포도, 말린 무화과, 부드러운, 설탕","균형 잡힌, 달콤한, 오크, 향신료"
리차드 헤네시,꼬냑,40.0,"꽃, 향신료, 블랙 페퍼, 바닐라, 달콤한","다채로운, 과일, 오크, 견과류","오크, 긴 여운, 가죽, 육두구"
모넷 VS,꼬냑,40.0,"플로럴, 향신료, 오크","잘 익은 과일, 바닐라, 코코아","부드러운, 긴 여운, 복합적인"
다비도프 VS,꼬냑,40.0,"밤, 꿀, 구운 빵","캐러멜, 바닐라, 건포도","구운 오크, 부드러운, 달콤한"
프라팡 밀레짐 1995 25년,꼬냑,41.4,"오렌지, 감귤, 신선한","말린 복숭아, 진저 브레드, 바닐라","말린 살구, 스파이시, 란시오, 균형 잡힌"
폴 지로 12년 싱글캐스크,꼬냑,42.9,"살구, 복숭아, 무화과","달콤한, 꿀, 바닐라, 말린 과일","긴 여운, 복합적인, 견과류, 오크"
레미 마틴 XO,꼬냑,40.0,"꽃, 자스민, 말린 오렌지, 자두, 계피, 란시오","블랙베리, 오크, 과일, 라즈베리","말린 과일, 오크, 견과류"
까뮤 보더리 VSOP,꼬냑,40.0,"꿀, 복숭아, 사과, 시나몬","바닐라, 스파이스","과일, 긴 여운, 부드러운"
다니엘 부쥬 싱글 캐스크 코리아 No.1,꼬냑,51.4,"건포도, 버터 크림, 브리오슈, 우디","감초, 다크 초콜릿, 말린 과일, 바닐라","긴 여운, 달콤한, 신선한, 균형 잡힌"
헤네시 VSOP,꼬냑,40.0,"계피, 민트, 오크, 정향, 후추","감초, 꿀, 자두, 블랙베리","강렬한, 오크, 부드러운"
